data_label,en_name,unit,station0,station1,station2,station3,label0,label1,label2,label3
地面层紫外辐射,radiation (UV ground),W/cm2,1,0,1,1,近地层紫外辐射,,地面层紫外辐射,ULT
地面层温度,temperature (ground),℃,1,0,1,0,近地层温度,,地面层温度,
地面层湿度,humidity (ground),%,1,0,1,0,近地层湿度,,地面层湿度,
地面降水,rainfall (ground),mm,0,0,0,1,,,,RAIN
地面层风速,wind speed (ground),m/s,1,0,1,1,近地层风速,,地面层风速,WIND-S
地面风向,wind direction (ground),°,0,0,0,1,,,,WIND-D
地面层气压,atmospheric pressure (ground),hPa,1,0,1,0,近地层气压,,地面层气压,
5厘米土壤温度,soil temperature (5cm),℃,1,0,1,0,5cm土壤温度,,5厘米土壤温度,
10厘米土壤温度,soil temperature (10cm),℃,1,-1,1,0,10cm土壤温度,10CM处土壤温度,10厘米土壤温度,
20厘米土壤温度,soil temperature (20cm),℃,1,-1,1,0,20cm土壤温度,20CM处土壤温度,20厘米土壤温度,
30厘米土壤温度,soil temperature (30cm),℃,1,-1,1,0,30cm土壤温度,40cm处土壤温度,30厘米土壤温度,
40厘米土壤温度,soil temperature (40cm),℃,1,0,1,0,40cm土壤温度,,40厘米土壤温度,
60cm处土壤温度,soil temperature (60cm),℃,0,1,0,0,,60cm处土壤温度,,
80厘米土壤温度,soil temperature (80cm),℃,1,0,1,0,80cm土壤温度,,80厘米土壤温度,
5厘米土壤湿度,soil moisture (5cm),%,1,0,1,0,5cm土壤湿度,,5厘米土壤湿度,
10厘米土壤湿度,soil moisture (10cm),%,1,-1,1,0,10cm土壤湿度,10CM处土壤水分,10厘米土壤湿度,
20厘米土壤湿度,soil moisture (20cm),%,1,-1,1,0,20cm土壤湿度,20CM处土壤水分,20厘米土壤湿度,
30厘米土壤湿度,soil moisture (30cm),%,1,0,1,0,30cm土壤湿度,,30厘米土壤湿度,
40cm处土壤水分,soil moisture (40cm),%,1,-1,1,0,40cm土壤湿度,40cm处土壤水分,40厘米土壤湿度,
60cm处土壤水分,soil moisture (60cm),%,0,1,0,0,,60cm处土壤水分,,
80厘米土壤湿度,soil moisture (80cm),%,1,0,1,0,80cm土壤湿度,,80厘米土壤湿度,
5厘米土壤温度2,soil temperature (5cm) 2,℃,1,0,0,0,5cm土壤温度.1,,,
10厘米土壤温度2,soil temperature (10cm) 2,℃,1,0,0,0,10cm土壤温度.1,,,
20厘米土壤温度2,soil temperature (20cm) 2,℃,1,0,0,0,20cm土壤温度.1,,,
30厘米土壤温度2,soil temperature (30cm) 2,℃,1,0,0,0,30cm土壤温度.1,,,
40厘米土壤温度2,soil temperature (40cm) 2,℃,1,0,0,0,40cm土壤温度.1,,,
80厘米土壤温度2,soil temperature (80cm) 2,℃,1,0,0,0,80cm土壤温度.1,,,
5厘米土壤湿度2,soil moisture (5cm) 2,%,1,0,0,0,5cm土壤湿度.1,,,
