,PM10 (¦Ìg/cm3),PM2.5 (¦Ìg/cm3),SO2 (ppb),NOX (ppb),NO (ppb),CO (ppb),O3 (ppb),atmospheric pressure (hPa),NAI (¸ö/cm3),PAR (bottom) (W/cm2),temperature (bottom) (¡æ),humidity (bottom) (%),radiation (total ground) (W/cm2),radiation (UV ground) (W/cm2),rainfall (ground) (mm),wind speed (ground) (m/s),wind direction (ground) (¡ã)
count,345.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,140.0,337.0,350.0
mean,48.465646373576334,35.01782473981479,5.7921242517307,24.755415841763362,2.4813134490312625,1002.1981894942159,25.130477349219525,1013.6570457555222,430.9703350928055,31.75,18.346408662570518,78.82580488168888,51.32469620825932,3.5,1.8562380096137514,0.31455271666126894,136.4147350941357
std,25.94513319350577,20.312084278383377,0.6398375115113236,12.483853908328747,1.373690089690342,530.6463393894707,13.595053126909383,9.197739958236824,145.43863118080205,0.0,7.622495556429154,13.90682156413707,1.4483773446869015,0.0,1.6322642980243767,0.16340475413471886,51.785671976902556
min,6.18,7.912500000000001,4.1274431381277745,1.729166666666666,0.2,216.59930555555562,4.195348837209303,985.6717391304344,250.5703125,31.75,2.2583333333333337,38.022953702658896,47.0,3.5,0.29999999999999843,0.1,49.721420839136805
25%,28.0325074455389,18.7430098231115,5.20234228734229,14.981576817567214,1.4171689895470385,560.8931240862573,13.514304858576645,1005.7629032258058,274.48087714893245,31.75,11.2858103855232,70.79682370820665,50.77472638965031,3.5,0.3084112149532714,0.23406593406593412,99.35296282985814
50%,42.4048780487805,30.345359775640983,5.978993243591722,23.16371018360639,2.4744599303135884,878.9456841155234,24.20432530883751,1014.309895833333,424.7048298672098,31.75,19.335828010065832,79.25337123727314,51.68986690323666,3.5,1.306036620255579,0.2788180340450872,126.08749999999995
75%,62.955555555555556,44.18320768384378,6.207505756578943,31.660545792757077,3.102929677257242,1334.9596324293234,35.603952299567474,1020.7011259920623,559.1060414316353,31.75,24.148826607420393,87.49787010742067,52.34436877595318,3.5,3.510763259761702,0.33055555555555566,165.51262178575817
max,125.08642340333262,89.59776776893777,7.368140005216282,58.92268584653785,6.2030259899651625,2482.7998231435963,70.72882838200542,1035.2860714285719,689.9591790299655,31.75,32.549295774647895,108.76780303030303,55.392104745976404,3.5,4.6582453244134445,1.189561331103361,367.51317999656015
